customer_intelligence_segment,customers,revenue,profit,avg_clv,avg_orders,avg_recency,avg_frequency,revenue_share
Medium-Value Customers,586,29232597.97,9356783.22,1924.28,3.16,146.69,3.16,48.73
Growth Opportunities,265,9944542.99,3268402.26,11062.18,2.18,213.7,2.18,16.58
Loyal High-Value,95,7187837.37,2481461.95,9201.1,2.89,176.78,2.89,11.98
Low-Value Customers,314,6364474.63,1853862.74,582.4,2.77,108.08,2.77,10.61
VIP Customers,36,4602143.93,1588443.63,5237.62,4.33,67.42,4.33,7.67
At-Risk High-Value,75,1947054.56,650010.9,8933.15,1.25,313.65,1.25,3.25
High-Value Customers,37,557610.54,195749.01,5290.51,1.0,393.89,1.0,0.93
Low-Value / Low-Engagement,51,151033.04,41084.93,529.54,1.14,367.08,1.14,0.25
